COLLEGE,"CONTROL NUMBER",TITLE,"TOP CODE","CIP CODE",GOAL,AWARD,"SUB AWARD","APPROVED DATE","CERT UNITS","MAJOR UNITS",STATUS
CUYAMACA,36346,"Automotive Technology - Automotive Service Councils of California ASCCA","0948.00* Automotive Technology","47.0604 Automobile/Automotive Mechanics Technology/Technician.","C - CTE","A.S. Degree",,2018-03-05,,41.00-41.00/41.00-41.00,Active
"SACRAMENTO CITY",36008,"Occupational Therapy Assistant","1218.00* Occupational Therapy Technology",,"C - CTE","A.S. Degree",,2017-11-29,0.00-0.00/0.00-0.00,64.00-64.00/72.00-72.00,Inactive
OHLONE,36009,"Studio Arts","1002.00 Studio Arts","50.0701 Art/Art Studies, General.","T - Transfer","A.A- T Degree","ADT Degree",,,25.00-25.00/26.00-26.00,Active
SOLANO,36249,"Theatre Arts Technical","1006.00* Technical Theater","50.0502 Technical Theatre/Theatre Design and Technology","C - CTE","Certificate of Achievement requiring 30S/45Q to fewer than 60S/90Q units",,2018-02-01,30.00-30.00/31.50-31.50,,Active
"L.A. CITY",36456,"Applications Software","0701.00* Information Technology, General",,"C - CTE","Certificate of Achievement: 18  or greater semester(or 27  or greater quarter) units",,2018-03-15,31.00-31.00/31.00-31.00,0.00-0.00/0.00-0.00,Inactive
MISSION,36338,"Plumbing and Pipefitting Technology","0952.30* Plumbing, Pipefitting and Steamfitting",,"C - CTE","Certificate of Achievement: 18  or greater semester(or 27  or greater quarter) units",,2018-03-02,30.00-30.00/30.00-30.00,0.00-0.00/0.00-0.00,Inactive
MISSION,36337,"Plumbing and Pipefitting Technology","0952.30* Plumbing, Pipefitting and Steamfitting",,"C - CTE","A.S. Degree",,2018-03-02,,30.00-30.00/30.00-30.00,Inactive
MISSION,36366,"Refrigeration and Air Conditioning Technology","0946.00* Environmental Control Technology","15.0501 Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician.","C - CTE","Certificate of Achievement requiring 30S/45Q to fewer than 60S/90Q units",,,30.00-30.00/30.00-30.00,,Inactive
GLENDALE,36419,"Engineering Technology - CAD ","0953.40* Mechanical Drafting","15.1306 Mechanical Drafting and Mechanical Drafting CAD/CADD.","C - CTE","A.S. Degree",,,,21.00-21.00/21.00-21.00,Active
MISSION,36359,"Refrigeration and Air Conditioning Technology","0946.00* Environmental Control Technology","15.0501 Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician.","C - CTE","A.S. Degree",,,,30.00-30.00/30.00-30.00,Inactive
ALAMEDA,36691,"Athletic Trainer Aide","1270.00 Kinesiology","26.0908 Exercise Physiology and Kinesiology.","O - Local","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,2018-05-07,21.00-21.00/21.00-21.00,,Active
SADDLEBACK,36225,"Business Information Worker II","0702.10* Software Applications","11.0103 Information Technology.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,2018-01-24,26.00-26.00/26.00-26.00,0.00-0.00/0.00-0.00,Active
"SANTIAGO CANYON",36520,Esthetician,"3007.00* Cosmetology and Barbering","12.0401 Cosmetology/Cosmetologist, General.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,2018-03-28,20.00-20.00/20.00-20.00,,Active
MERCED,36258,"Automotive Master Technician","0948.00* Automotive Technology","47.0604 Automobile/Automotive Mechanics Technology/Technician.","C - CTE","A.S. Degree",,,,50.50-50.50/50.50-50.50,Active
"COSUMNES RIVER",36525,"Deaf Studies","0850.00 Sign Language","16.1601 American Sign Language (ASL).","O - Local","A.A. Degree",,2018-03-30,,28.00-28.00/28.00-28.00,Active
SKYLINE,44785,Philosophy,"1509.00 Philosophy","38.0101 Philosophy.","T - Transfer","A.A- T Degree","ADT Degree",2025-02-13,,18.00-18.00/18.00-18.00,Active
CLOVIS,36050,"Art History","1001.00 Fine Arts, General","50.0101 Visual and Performing Arts, General.","T - Transfer","A.A- T Degree","ADT Degree",,,18.00-18.00/20.00-20.00,Active
COLUMBIA,36236,"Payroll Clerk","0502.00* Accounting","52.0302 Accounting Technology/Technician and Bookkeeping.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,2018-01-29,19.00-19.00/19.00-19.00,,Active
SADDLEBACK,36226,"New Media Marketing","0509.00* Marketing and Distribution","52.1801 Sales, Distribution, and Marketing Operations, General.","C - CTE","Certificate of Achievement requiring 8S/12Q to fewer than 16S/24Q units",,,13.00-13.00/14.00-14.00,,Active
DESERT,36063,Recreation,"0836.10* Recreation Assistant",,"C - CTE","A.S. Degree",,2017-12-20,,19.00-19.00/19.00-19.00,Inactive
BAKERSFIELD,36037,"Occupational Safety and Risk Management, Industrial Technology","0956.70* Industrial and Occupational Safety and Health","15.0703 Industrial Safety Technology/Technician.","C - CTE","A.S. Degree",,,,41.00-41.00/42.00-42.00,Active
OHLONE,36093,"Business Supervision/Management","0506.30* Management Development and Supervision",,"C - CTE","A.A. Degree",,2018-01-08,,38.00-38.00/40.00-40.00,Inactive
"SANTA MONICA",37054,"Business Information Worker 1","0514.00* Office Technology/Office Computer Applications",,"C - CTE","A.S. Degree",,2018-09-11,,21.00-21.00/21.00-21.00,Inactive
"SANTA MONICA",37100,"Business Information Worker 1","0514.00* Office Technology/Office Computer Applications","52.0401 Administrative Assistant and Secretarial Science, General.","C - CTE","Certificate of Achievement: 18  or greater semester(or 27  or greater quarter) units",,2018-09-26,21.00-21.00/21.00-21.00,0.00-0.00/0.00-0.00,Active
COLUMBIA,36046,"Media and Design","0614.00* Digital Media","09.0702 Digital Communication and Media/Multimedia.","C - CTE","Certificate of Achievement requiring 30S/45Q to fewer than 60S/90Q units",,,37.00-37.00/37.00-37.00,,Active
MOORPARK,36061,"Business Administration","0505.00* Business Administration","99.9999 Unknown","T - Transfer","A.S. T Degree",,2017-12-20,,24.00-24.00/25.00-25.00,"Active - Teachout Only"
"RIO HONDO",36233,"Orthopedic Technician Program","1214.00* Orthopedic Assistant","51.1099 Clinical/Medical Laboratory Science and Allied Professions, Other.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,,19.00-19.00/19.00-19.00,,Active
MODESTO,36583,"English Language Instruction for College: Academic Language Skills for Success","4930.87 English as a Second Language - Integrated","32.0108 Developmental/Remedial English.","O - Local","Noncredit program",,2018-04-14,,,Active
MENDOCINO,36290,"Basic Academic Skills","4930.62 Secondary Education (Grades 9-12) and G.E.D.",,"O - Local","Noncredit program",,2018-02-13,,,Active
SEQUOIAS,36486,"NCCER Electrical Theory","0952.20* Electrical","46.0302 Electrician.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,,16.00-16.00/16.00-16.00,,Active
